Id,eng,ara
0, 10th, العاشر
1, 1st, الأول
2, 2nd, الثاني
3, 3rd, الثالث
4, 4th, الرابع
5, 5th, الخامس
6, 6th, السادس
7, 7th, السابع
8, 8th, الثامن
9, 9th, التاسع
10, A, آي - الحرف الأول في اللغة الإنجليزية
11, A-, حرف يسبق الكلمة ويعني في إتجاه كذا وكذا، او الإستمرارية
12, A-bomb, القنبلة النووية :: القنبلة الذرية
13, A-good, بحماس :: جيّدًا
14, A-ha, آها -  فرقة بوب نرويجيّة
15, A-law, المقياس المستخدم في التحويل بين الإشارات السينية الى الرقمية
16, A-line, اصطفّ، فستان ضيّق من الأعلى وواسع من الأسفل
17, A-ok, ممتاز
18, A-one, ممتاز :: من الدرجة الأولى
19, A&M, زراعيّ و ميكانيكيّ
20, A&P, شركة الشّاي الباسيفيكيّة و الأطلنطيّة العظيمة
21, A1, ممتاز :: من الدرجة الأولى
22, Aa, درجة الأستاذ المساعد في الفنون
23, AAA, التوثيق والتفويض والمحاسبة
24, AAAS, الرابطة الأمريكية لتقدّم العلم
25, Aadl, قاعدة لبناء أجهزة الكمبيوتر
26, Aal, آل - شجيرة من الهند
27, Aam, مقياس السوائل في هولندا وألمانيا
28, Aap, جمعيّة النّاشرين الأمريكيّين
29, Aard, الأرض
30, Aard-vark, حيوان ثديي أفريقي ليلي
31, Aard-wolf, حيوان ثديي أفريقي كما الذئب
32, Aardvark, خنزير الأرض
33, Aardvarks, خنازير الأرض
34, Aardwolf, ضبع مخطط يقتات على الحشرات
35, Aarhus, مدينة وميناء آرهس
36, Aaron, هارون
37, Aaronic, متعلق بالقساوسة
38, Aaronical, متعلق بالقساوسة
39, Aarons, آرونز
40, Aaronsburg, آرونسبرج
41, Aarp, الجمعية الأمريكية للمتقاعدين
42, Aas, مساعد في العلوم التّطبيقيّة
43, Aasu, آسو
44, AAU, اتّحاد هواة الرّياضة
45, Ab, فصيلة الدّم ا ب
46, Ab-, بعيدا عن
47, ABA, رابطة المصرفيين الأمريكية
48, Abac, أباك
49, Abaca, شجرة الموز الفلبينية
50, Abaci, العدّادات :: الآلات الحاسبة
51, Abacinate, يسبب العمى :: يعمي العين
52, Aback, إلى الخلف :: إلى الوراء
53, Abacterial, لا يحتوي على البكتيريا :: لم يتأثّر بالبكتيريا
54, Abacus, العدّاد
